"aX","aY","aZ","gX","gY","gZ"
"0.905","-0.31","0.26","-1.404","-5.371","-4.089"
"0.908","-0.268","0.259","-2.075","-3.662","-1.892"
"0.905","-0.251","0.245","-1.343","-2.625","-1.892"
"0.901","-0.29","0.238","0.488","-3.113","-3.662"
"0.894","-0.311","0.249","1.831","-4.822","-4.028"
"0.88","-0.308","0.268","2.502","-6.042","-3.174"
"0.869","-0.31","0.276","3.296","-6.531","-2.197"
"0.865","-0.321","0.267","4.089","-6.348","-1.404"
"0.874","-0.31","0.254","4.272","-5.981","0.305"
"0.886","-0.253","0.254","3.662","-5.615","2.441"
"0.888","-0.219","0.266","2.991","-5.31","2.869"
"0.891","-0.245","0.251","2.38","-3.662","1.282"
"0.905","-0.268","0.206","2.319","-1.892","0.671"
"0.911","-0.243","0.15","2.197","-1.526","1.709"
"0.923","-0.209","0.137","1.831","-3.601","2.319"
"0.92","-0.189","0.178","1.038","-7.202","1.404"
"0.919","-0.199","0.204","0.061","-8.728","-0.122"
"0.915","-0.193","0.175","-0.916","-8.118","-1.099"
"0.902","-0.167","0.155","-1.404","-8.911","-1.587"
"0.88","-0.189","0.191","-1.953","-11.902","-3.967"
"0.864","-0.256","0.239","-3.296","-12.756","-6.653"
"0.849","-0.289","0.238","-4.822","-10.315","-6.775"
"0.839","-0.297","0.193","-5.981","-7.263","-5.127"
"0.833","-0.296","0.137","-6.531","-5.981","-3.54"
"0.828","-0.284","0.132","-6.409","-8.545","-1.709"
"0.825","-0.286","0.151","-7.08","-11.353","-0.732"
"0.828","-0.296","0.149","-7.935","-12.817","0.427"
"0.835","-0.259","0.118","-8.118","-14.282","2.319"
"0.82","-0.224","0.117","-8.179","-17.395","3.601"
"0.812","-0.248","0.149","-9.033","-21.118","2.319"
"0.8","-0.265","0.193","-10.132","-23.56","2.319"
"0.804","-0.249","0.208","-12.268","-23.56","3.967"
"0.811","-0.222","0.193","-14.038","-22.644","5.432"
"0.82","-0.208","0.172","-15.015","-22.766","5.676"
"0.837","-0.203","0.159","-15.625","-23.804","5.31"
"0.851","-0.212","0.136","-16.907","-25.269","4.517"
"0.854","-0.21","0.132","-16.174","-28.381","3.906"
"0.849","-0.212","0.171","-15.259","-33.813","2.991"
"0.848","-0.221","0.213","-14.099","-38.513","1.831"
"0.832","-0.215","0.259","-12.573","-42.419","1.343"
"0.811","-0.217","0.313","-11.597","-45.41","0.732"
"0.784","-0.243","0.383","-11.414","-47.18","0.122"
"0.764","-0.275","0.44","-12.207","-46.143","0.122"
"0.773","-0.296","0.465","-13.367","-42.664","1.465"
"0.79","-0.302","0.446","-14.282","-37.781","3.967"
"0.82","-0.299","0.379","-15.198","-32.715","6.348"
"0.847","-0.276","0.32","-15.991","-29.907","8.667"
"0.869","-0.245","0.309","-16.846","-30.457","10.071"
"0.884","-0.205","0.32","-17.334","-32.959","10.376"
"0.879","-0.165","0.337","-17.334","-35.645","10.01"
"0.882","-0.15","0.351","-16.663","-38.269","8.362"
"0.873","-0.124","0.371","-15.381","-41.077","7.019"
"","","","","",""
"-0.283","-0.907","2.76","-35.339","-52.307","-17.029"
"-0.457","-1.229","3.328","-43.213","-38.025","-9.949"
"-0.572","-1.301","3.738","-51.514","-1.77","10.132"
"-0.624","-1.207","3.807","-46.692","50.11","37.781"
"-0.656","-1.006","3.518","-26.978","104.126","66.04"
"-0.705","-0.792","3.054","-3.479","143.127","89.172"
"-0.786","-0.653","2.883","12.329","154.907","104.126"
"-0.945","-0.637","3.215","14.587","151.855","109.802"
"-1.138","-0.756","3.679","-2.747","170.532","110.901"
"-1.365","-0.808","3.999","-25.879","220.459","116.882"
"-1.533","-0.678","3.949","-44.312","298.34","132.69"
"-1.568","-0.248","3.156","-51.636","395.325","155.273"
"-1.497","0.304","1.958","-40.527","476.868","175.72"
"-1.275","0.677","0.793","-1.953","508.179","184.998"
"-1.045","0.941","0.023","54.504","487.915","190.857"
"-0.79","1.26","-0.274","102.661","436.34","195.923"
"-0.612","1.614","-0.012","121.704","377.075","192.871"
"-0.576","1.746","0.545","113.77","337.769","171.57"
"-0.654","1.514","0.765","88.562","348.083","132.507"
"-0.708","1.27","0.437","60.73","392.09","100.403"
"-0.727","1.352","0.034","49.561","425.415","87.036"
"-0.779","1.396","-0.643","60.608","445.984","73.73"
"-0.688","1.152","-1.543","85.388","453.003","55.115"
"-0.56","1.103","-1.697","115.417","402.588","44.495"
"-0.489","1.146","-1.173","144.775","328.003","40.771"
"-0.497","1.042","-1.044","153.809","298.828","35.583"
"-0.423","0.894","-1.537","127.93","318.787","34.729"
"-0.349","0.947","-1.845","86.548","316.956","40.161"
"-0.209","0.939","-1.997","49.805","286.133","39.307"
"-0.078","0.807","-2.235","33.386","245.117","31.677"
"0.058","0.709","-2.387","35.461","188.721","27.832"
"0.179","0.73","-2.099","42.297","113.22","27.405"
"0.271","0.702","-1.573","47.546","45.776","23.743"
"0.374","0.577","-1.22","45.288","10.193","16.907"
"0.418","0.53","-0.895","33.325","-2.869","13.428"
"0.469","0.459","-0.599","15.93","-6.47","9.583"
"0.543","0.377","-0.519","0.305","1.16","6.592"
"0.628","0.43","-0.617","-6.47","8.728","9.46"
"0.676","0.578","-0.627","-5.249","2.686","12.024"
"0.706","0.596","-0.479","-1.77","-12.756","6.226"
"0.705","0.477","-0.281","-0.488","-25.635","-3.906"
"0.697","0.311","-0.122","-2.258","-31.555","-11.292"
"0.705","0.206","-0.033","-6.836","-30.212","-12.573"
"0.741","0.164","0.018","-12.085","-26.306","-9.949"
"0.795","0.135","0.032","-15.564","-22.278","-7.507"
"0.856","0.126","0.048","-16.724","-19.897","-5.737"
"0.893","0.138","0.099","-16.357","-20.081","-3.967"
"0.901","0.115","0.151","-14.404","-20.447","-3.601"
"0.914","0.039","0.191","-11.108","-20.386","-3.784"
"0.919","0.016","0.225","-7.568","-19.775","-1.16"
"0.944","0.052","0.233","-4.089","-17.822","3.967"
"0.971","0.125","0.226","-1.221","-15.198","8.85"
"0.983","0.188","0.255","0.977","-14.343","10.925"
"0.99","0.176","0.327","2.38","-13.672","9.949"
"1","0.133","0.389","2.136","-10.315","8.789"
"1.016","0.148","0.364","0.366","-1.709","11.475"
"1.044","0.239","0.276","-1.404","7.751","15.625"
"1.058","0.343","0.184","-1.526","13.489","17.944"
"1.069","0.399","0.104","-0.61","15.93","16.296"
"1.078","0.431","0.045","0.366","17.151","13.367"
"1.078","0.474","-0.014","0.793","17.7","10.864"
"1.075","0.5","-0.099","1.892","18.311","7.446"
"1.062","0.489","-0.204","4.456","16.907","2.93"
"1.043","0.453","-0.254","7.202","11.353","-1.404"
"1.024","0.406","-0.215","9.216","2.93","-5.554"
"1.011","0.371","-0.172","9.827","-2.258","-8.118"
"0.983","0.368","-0.126","8.545","-4.822","-8.972"
"0.961","0.331","-0.061","5.554","-6.287","-10.864"
"0.945","0.287","0.004","1.953","-6.287","-12.573"
"0.929","0.252","0.019","0.061","-4.761","-12.634"
"0.921","0.239","0.022","-0.244","-3.967","-11.353"
"0.919","0.236","0.071","0.366","-6.104","-10.193"
"0.926","0.245","0.151","0.671","-7.69","-9.216"
"0.893","0.229","0.193","0.977","-6.165","-8.606"
"0.899","0.227","0.181","-0.427","-2.258","-7.629"
"0.901","0.237","0.152","-0.244","0.305","-6.836"
"0.897","0.209","0.113","0","1.892","-7.385"
"0.895","0.177","0.088","1.282","1.648","-7.996"
"0.889","0.168","0.065","2.136","1.16","-7.202"
"0.891","0.175","0.031","2.625","0.916","-4.944"
"0.891","0.186","-0.004","2.686","0.488","-2.625"
"0.891","0.203","-0.059","2.502","0.061","-0.916"
"0.896","0.232","-0.105","2.93","-1.404","0.549"
"0.904","0.258","-0.107","2.991","-5.066","1.099"
"0.917","0.271","-0.084","2.441","-8.789","0.61"
"0.922","0.279","-0.056","1.282","-11.597","-0.061"
"0.932","0.276","-0.046","0.122","-13","-0.793"
"0.944","0.275","-0.024","-0.61","-14.832","-1.465"
"0.958","0.292","0.011","-1.709","-16.479","-1.343"
"0.973","0.327","0.025","-2.686","-16.846","-1.282"
"0.978","0.354","0.002","-3.174","-15.808","-2.197"
"0.976","0.364","-0.025","-2.869","-15.747","-4.333"
"0.963","0.332","-0.006","-2.563","-18.066","-7.568"
"0.943","0.257","0.076","-3.54","-20.935","-10.681"
"0.935","0.175","0.181","-6.165","-21.301","-12.268"
"0.935","0.14","0.203","-9.216","-16.785","-10.559"
"0.932","0.17","0.134","-10.437","-10.498","-6.714"
"0.928","0.205","0.057","-9.277","-8.484","-3.845"
"0.917","0.205","0.064","-7.385","-11.536","-3.54"
"0.904","0.171","0.121","-6.104","-14.343","-4.089"
"0.904","0.156","0.145","-6.042","-13.489","-2.747"
