"aX","aY","aZ","gX","gY","gZ"
"-1.868","2.327","1.219","3.601","436.829","59.326"
"-1.841","2.138","0.971","-6.287","422.729","-12.878"
"-1.795","1.905","0.777","-16.418","400.391","-77.82"
"-1.766","1.671","0.655","-24.109","373.779","-129.944"
"-1.742","1.454","0.582","-26.672","349.426","-167.847"
"-1.709","1.262","0.528","-28.076","333.008","-192.81"
"-1.641","1.108","0.466","-25.33","325.378","-204.468"
"-1.561","1.002","0.389","-20.569","323.914","-202.942"
"-1.488","0.947","0.291","-13.306","327.82","-190.491"
"-1.422","0.948","0.194","-8.667","333.191","-170.898"
"-1.386","1","0.094","-7.629","339.355","-149.17"
"-1.364","1.077","0.002","-10.254","345.398","-132.996"
"-1.368","1.148","-0.092","-17.517","350.952","-127.502"
"-1.389","1.198","-0.219","-23.621","355.957","-132.812"
"-1.404","1.219","-0.375","-29.968","357.239","-148.682"
"-1.436","1.209","-0.533","-37.781","350.403","-173.889"
"-1.444","1.157","-0.7","-42.297","333.801","-208.069"
"-1.441","1.053","-0.851","-46.326","306.213","-247.803"
"-1.399","0.885","-0.949","-59.692","266.724","-290.283"
"-1.346","0.66","-0.974","-83.435","215.149","-329.285"
"-1.285","0.411","-0.909","-118.103","155.396","-358.887"
"-1.235","0.166","-0.769","-155.09","92.773","-376.221"
"-1.204","-0.035","-0.579","-194.092","32.959","-380.737"
"-1.182","-0.223","-0.384","-232.178","-17.456","-376.404"
"-1.154","-0.39","-0.225","-263.184","-58.594","-364.319"
"-1.143","-0.526","-0.075","-287.292","-93.384","-344.788"
"-1.12","-0.647","0.094","-303.467","-121.643","-320.862"
"-1.037","-0.754","0.263","-309.265","-139.221","-294.25"
"-0.954","-0.833","0.417","-305.054","-143.372","-265.076"
"-0.906","-0.903","0.537","-289.551","-137.451","-237.183"
"-0.83","-0.983","0.626","-267.822","-124.817","-212.341"
"-0.706","-1.075","0.667","-245.85","-105.103","-188.11"
"-0.603","-1.148","0.655","-221.741","-82.703","-158.569"
"-0.53","-1.183","0.613","-197.449","-64.209","-123.108"
"-0.468","-1.173","0.548","-176.331","-50.537","-83.984"
"-0.411","-1.101","0.443","-157.959","-41.26","-43.518"
"-0.389","-0.952","0.305","-141.174","-38.818","-5.493"
"-0.41","-0.766","0.187","-126.648","-48.218","24.231"
"-0.483","-0.601","0.172","-118.286","-73.486","40.283"
"-0.575","-0.493","0.247","-120.483","-105.957","41.809"
"-0.653","-0.472","0.378","-132.812","-136.414","31.189"
"-0.706","-0.538","0.513","-150.024","-161.987","13.855"
"-0.743","-0.661","0.607","-167.053","-182.251","-0.732"
"-0.758","-0.785","0.686","-183.35","-201.538","-6.653"
"-0.746","-0.869","0.786","-196.35","-225.464","-1.221"
"-0.731","-0.891","0.918","-205.017","-251.831","15.137"
"-0.777","-0.876","1.083","-210.388","-276.184","38.086"
"-0.783","-0.854","1.273","-214.722","-296.021","63.293"
"-0.799","-0.814","1.493","-217.163","-310.12","90.393"
"-0.788","-0.753","1.711","-218.445","-317.017","119.873"
"-0.724","-0.658","1.92","-216.675","-315.369","152.832"
"-0.679","-0.507","2.091","-209.9","-305.298","190.002"
"-0.646","-0.307","2.217","-198.059","-286.499","227.905"
"-0.634","-0.075","2.293","-179.749","-260.864","261.902"
"-0.632","0.172","2.333","-154.846","-230.164","287.659"
"-0.644","0.411","2.34","-124.512","-194.275","300.171"
"-0.647","0.623","2.306","-91.492","-156.921","296.753"
"-0.668","0.785","2.255","-55.603","-121.643","276.55"
"-0.631","0.862","2.184","-28.198","-87.036","240.784"
